dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.727092,3.437523,0.000199,0.019887,0.994373,49.718660,6.268977
0.020000,1.727111,3.437523,0.000218,0.000942,-0.947285,-97.082928,6.268927
0.020000,1.728318,3.437505,0.001426,0.060393,2.972542,195.991378,6.268827
0.020000,1.730761,3.437470,0.003868,0.122133,3.087044,5.725113,6.268679
0.020000,1.734017,3.437423,0.007125,0.162825,2.034592,-52.622637,6.268482
0.020000,1.738086,3.437362,0.011195,0.203501,2.033764,-0.041400,6.268237
0.020000,1.742969,3.437289,0.016078,0.244155,2.032728,-0.051785,6.267946
0.020000,1.748664,3.437201,0.021774,0.284785,2.031486,-0.062108,6.267609
0.020000,1.755171,3.437098,0.028281,0.325386,2.030036,-0.072495,6.267229
0.020000,1.762489,3.436980,0.035600,0.365953,2.028379,-0.082855,6.266807
0.020000,1.770618,3.436845,0.043730,0.406483,2.026515,-0.093213,6.266345
0.020000,1.779556,3.436692,0.052669,0.446972,2.024443,-0.103565,6.265845
0.020000,1.789303,3.436520,0.062418,0.487416,2.022164,-0.113957,6.265309
0.020000,1.799857,3.436329,0.072974,0.527809,2.019678,-0.124300,6.264741
0.020000,1.811218,3.436116,0.084337,0.568149,2.016984,-0.134688,6.264144
0.020000,1.823384,3.435880,0.096506,0.608431,2.014084,-0.145043,6.263519
0.020000,1.836355,3.435621,0.109479,0.648650,2.010975,-0.155417,6.262871
0.020000,1.850128,3.435336,0.123255,0.688803,2.007660,-0.165781,6.262202
0.020000,1.864702,3.435026,0.137832,0.728886,2.004137,-0.176150,6.261518
0.020000,1.880076,3.434687,0.153210,0.768894,2.000406,-0.186508,6.260821
0.020000,1.896249,3.434319,0.169387,0.808823,1.996469,-0.196877,6.260116
0.020000,1.913217,3.433922,0.186360,0.848670,1.992324,-0.207221,6.259407
0.020000,1.930981,3.433493,0.204129,0.888429,1.987973,-0.217594,6.258699
0.020000,1.949537,3.433032,0.222691,0.928098,1.983414,-0.227918,6.257997
0.020000,1.968884,3.432538,0.242044,0.967671,1.978649,-0.238281,6.257305
0.020000,1.989020,3.432010,0.262187,1.007144,1.973676,-0.248618,6.256630
0.020000,2.009943,3.431447,0.283117,1.046514,1.968497,-0.258960,6.255975
0.020000,2.031650,3.430849,0.304833,1.085776,1.963111,-0.269283,6.255348
0.020000,2.054140,3.430216,0.327331,1.124927,1.957519,-0.279628,6.254754
0.020000,2.077409,3.429548,0.350610,1.163961,1.951720,-0.289955,6.254199
0.020000,2.101457,3.428845,0.374668,1.202875,1.945714,-0.300290,6.253690
0.020000,2.126279,3.428106,0.399501,1.241665,1.939502,-0.310617,6.253232
0.020000,2.151874,3.427334,0.425108,1.280327,1.933082,-0.320974,6.252834
0.020000,2.178239,3.426529,0.451485,1.318856,1.926456,-0.331306,6.252502
0.020000,2.205371,3.425693,0.478630,1.357249,1.919623,-0.341655,6.252242
0.020000,2.233267,3.424827,0.506540,1.395500,1.912582,-0.352030,6.252063
0.020000,2.261926,3.423933,0.535212,1.433607,1.905334,-0.362403,6.251973
0.020000,2.291342,3.423014,0.564643,1.471565,1.897878,-0.372791,6.251979
0.020000,2.321515,3.422074,0.594831,1.509369,1.890214,-0.383196,6.252089
0.020000,2.352441,3.421115,0.625771,1.547016,1.882342,-0.393613,6.252311
0.020000,2.384116,3.420142,0.657461,1.584501,1.874261,-0.404047,6.252655
0.020000,2.416537,3.419159,0.689897,1.621820,1.865972,-0.414479,6.253129
0.020000,2.449702,3.418172,0.723077,1.658970,1.857473,-0.424932,6.253741
0.020000,2.483607,3.417186,0.756996,1.695945,1.848765,-0.435379,6.254502
0.020000,2.518248,3.416207,0.791651,1.732742,1.839850,-0.445793,6.255420
0.020000,2.553622,3.415244,0.827038,1.769357,1.830725,-0.456224,6.256506
0.020000,2.589725,3.414302,0.863153,1.805784,1.821394,-0.466549,6.257768
0.020000,2.626554,3.413392,0.899994,1.842022,1.811857,-0.476863,6.259218
0.020000,2.664105,3.412523,0.937555,1.878064,1.802116,-0.487038,6.260865
0.020000,2.702375,3.411703,0.975833,1.913907,1.792174,-0.497086,6.262720
0.020000,2.741358,3.410945,1.014824,1.949548,1.782035,-0.506949,6.264794
0.020000,2.781052,3.410260,1.054524,1.984982,1.771704,-0.516573,6.267098
0.020000,2.821452,3.409661,1.094928,2.020206,1.761187,-0.525871,6.269642
0.020000,2.862553,3.409161,1.136032,2.055216,1.750490,-0.534810,6.272439
0.020000,2.904351,3.408775,1.177832,2.090008,1.739626,-0.543201,6.275499
0.020000,2.946842,3.408518,1.220324,2.124580,1.728604,-0.551111,6.278834
0.020000,2.990021,3.408408,1.263503,2.158929,1.717441,-0.558160,6.282457
0.020000,3.033882,3.408461,1.307364,2.193052,1.706153,-0.564390,0.003193
0.020000,3.078420,3.408697,1.351903,2.226947,1.694762,-0.569541,0.007426
0.020000,3.123630,3.409134,1.397115,2.260613,1.683290,-0.573635,0.011982
0.020000,3.172447,3.409423,1.445933,2.440898,9.014214,366.546220,6.279518
0.020000,3.230263,3.408507,1.503755,2.891129,22.511555,674.867071,6.254920
0.020000,3.289683,3.406036,1.563228,2.973603,4.123733,-919.391135,6.228060
0.020000,3.350751,3.401775,1.624444,3.060826,4.361145,11.870631,6.198685
0.020000,3.413503,3.395452,1.687513,3.153472,4.632281,13.556784,6.166515
