dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.721721,3.059561,0.000199,0.019887,0.994373,49.718660,6.268977
0.020000,1.721721,3.059561,0.000994,0.059662,1.988746,49.718660,6.268927
0.020000,1.722891,3.059544,0.002585,0.099437,1.988746,0.000000,6.268827
0.020000,1.725277,3.059510,0.004972,0.139212,1.988746,-0.000000,6.268679
0.020000,1.728459,3.059463,0.008154,0.178987,1.988746,-0.000000,6.268482
0.020000,1.732436,3.059404,0.012131,0.218762,1.988746,0.000000,6.268237
0.020000,1.737209,3.059332,0.016904,0.258537,1.988746,-0.000000,6.267946
0.020000,1.742776,3.059247,0.022473,0.298312,1.988746,0.000000,6.267609
0.020000,1.749140,3.059146,0.028837,0.338087,1.988746,0.000000,6.267229
0.020000,1.756298,3.059031,0.035996,0.377862,1.988746,-0.000000,6.266807
0.020000,1.764252,3.058898,0.043951,0.417637,1.988746,0.000000,6.266345
0.020000,1.773001,3.058749,0.052702,0.457412,1.988746,-0.000000,6.265845
0.020000,1.782546,3.058581,0.062248,0.497187,1.988746,0.000000,6.265309
0.020000,1.792886,3.058393,0.072589,0.536962,1.988746,-0.000000,6.264741
0.020000,1.804021,3.058184,0.083726,0.576736,1.988746,0.000000,6.264144
0.020000,1.815951,3.057953,0.095659,0.616511,1.988746,-0.000000,6.263519
0.020000,1.828676,3.057699,0.108387,0.656286,1.988746,0.000000,6.262871
0.020000,1.842197,3.057420,0.121910,0.696061,1.988746,-0.000000,6.262202
0.020000,1.856513,3.057114,0.136229,0.735836,1.988746,0.000000,6.261518
0.020000,1.871623,3.056781,0.151344,0.775611,1.988746,0.000000,6.260821
0.020000,1.887529,3.056420,0.167254,0.815386,1.988746,-0.000000,6.260116
0.020000,1.904230,3.056029,0.183959,0.855161,1.988746,0.000000,6.259407
0.020000,1.921726,3.055606,0.201460,0.894936,1.988746,0.000000,6.258699
0.020000,1.940017,3.055152,0.219756,0.934711,1.988746,0.000000,6.257997
0.020000,1.959103,3.054664,0.238848,0.974486,1.988746,-0.000000,6.257305
0.020000,1.978983,3.054143,0.258736,1.014261,1.988746,0.000000,6.256630
0.020000,1.999659,3.053587,0.279419,1.054036,1.988746,0.000000,6.255975
0.020000,2.021129,3.052996,0.300897,1.093811,1.988746,0.000000,6.255348
0.020000,2.043394,3.052369,0.323171,1.133585,1.988746,0.000000,6.254754
0.020000,2.066454,3.051707,0.346241,1.173360,1.988746,0.000000,6.254199
0.020000,2.090309,3.051009,0.370106,1.213135,1.988746,0.000000,6.253690
0.020000,2.114958,3.050276,0.394766,1.252910,1.988746,-0.000000,6.253232
0.020000,2.140403,3.049508,0.420222,1.292685,1.988746,0.000000,6.252834
0.020000,2.166642,3.048707,0.446474,1.332460,1.988746,-0.000000,6.252502
0.020000,2.193676,3.047874,0.473521,1.372235,1.988746,0.000000,6.252242
0.020000,2.221505,3.047010,0.501363,1.412010,1.988746,-0.000000,6.252063
0.020000,2.250129,3.046117,0.530001,1.451785,1.988746,0.000000,6.251973
0.020000,2.279548,3.045198,0.559434,1.491560,1.988746,0.000000,6.251979
0.020000,2.309763,3.044256,0.589663,1.531335,1.988746,0.000000,6.252089
0.020000,2.340772,3.043295,0.620688,1.571110,1.988746,0.000000,6.252311
0.020000,2.372577,3.042318,0.652508,1.610885,1.988746,0.000000,6.252655
0.020000,2.405178,3.041330,0.685123,1.650659,1.988746,-0.000000,6.253129
0.020000,2.438574,3.040335,0.718534,1.690434,1.988746,0.000000,6.253741
0.020000,2.472766,3.039341,0.752741,1.730209,1.988746,-0.000000,6.254502
0.020000,2.507754,3.038353,0.787742,1.769984,1.988746,0.000000,6.255420
0.020000,2.543538,3.037378,0.823540,1.809759,1.988746,0.000000,6.256506
0.020000,2.580118,3.036424,0.860133,1.849534,1.988746,-0.000000,6.257768
0.020000,2.617495,3.035501,0.897521,1.889309,1.988746,0.000000,6.259218
0.020000,2.655669,3.034617,0.935705,1.929084,1.988746,-0.000000,6.260865
0.020000,2.694639,3.033782,0.974685,1.968859,1.988746,0.000000,6.262720
0.020000,2.734407,3.033009,1.014460,2.008634,1.988746,0.000000,6.264794
0.020000,2.774971,3.032309,1.055030,2.048409,1.988746,-0.000000,6.267098
0.020000,2.816333,3.031695,1.096396,2.088184,1.988746,-0.000000,6.269642
0.020000,2.858491,3.031183,1.138557,2.127959,1.988746,0.000000,6.272439
0.020000,2.901446,3.030786,1.181514,2.167734,1.988746,-0.000000,6.275499
0.020000,2.945198,3.030522,1.225267,2.207508,1.988746,0.000000,6.278834
0.020000,2.989745,3.030408,1.269815,2.247283,1.988746,-0.000000,6.282457
0.020000,3.035089,3.030463,1.315158,2.287058,1.988746,0.000000,0.003193
0.020000,3.081227,3.030707,1.361297,2.326833,1.988746,0.000000,0.007426
0.020000,3.128159,3.031161,1.408231,2.366608,1.988746,0.000000,0.011982
0.020000,3.171061,3.031426,1.455961,2.406383,1.988746,0.000000,6.279518
0.020000,3.219580,3.030658,1.504487,2.446158,1.988746,0.000000,6.254920
0.020000,3.268856,3.028610,1.553808,2.485933,1.988746,0.000000,6.228060
0.020000,3.318848,3.025123,1.603924,2.525708,1.988746,0.000000,6.198685
0.020000,3.369502,3.020022,1.654836,2.565483,1.988746,0.000000,6.166515
0.020000,3.420743,3.013110,1.706543,2.605258,1.988746,0.000000,6.131255
0.020000,3.472477,3.004176,1.759046,2.645033,1.988746,0.000000,6.092607
0.020000,3.524584,2.992989,1.812345,2.684808,1.988746,0.000000,6.050275
0.020000,3.576913,2.979305,1.866438,2.724583,1.988746,0.000000,6.004003
0.020000,3.629279,2.962872,1.921328,2.764357,1.988746,0.000000,5.953604
0.020000,3.681454,2.943435,1.977013,2.804132,1.988746,0.000000,5.899011
0.020000,3.733172,2.920757,2.033493,2.843907,1.988746,-0.000000,5.840332
0.020000,3.784129,2.894625,2.090769,2.883682,1.988746,0.000000,5.777909
0.020000,3.833991,2.864879,2.148840,2.923457,1.988746,-0.000000,5.712358
0.020000,3.882411,2.831421,2.207707,2.963232,1.988746,0.000000,5.644583
0.020000,3.929053,2.794236,2.267370,3.003007,1.988746,0.000000,5.575732
0.020000,3.973470,2.753532,2.327629,3.022895,0.994373,-49.718660,5.507329
0.020000,4.015081,2.709896,2.387935,3.007761,-0.756689,-87.553109,5.441260
0.020000,4.053487,2.664066,2.447740,2.972739,-1.751062,-49.718660,5.379135
0.020000,4.088644,2.616623,2.506797,2.932965,-1.988746,-11.884210,5.321858
0.020000,4.120718,2.567993,2.565059,2.893190,-1.988746,0.000000,5.269780
0.020000,4.149944,2.518520,2.622525,2.853415,-1.988746,-0.000000,5.222941
0.020000,4.176578,2.468503,2.679195,2.813640,-1.988746,0.000000,5.181193
0.020000,4.200880,2.418194,2.735071,2.773865,-1.988746,-0.000000,5.144265
0.020000,4.223104,2.367799,2.790150,2.734090,-1.988746,-0.000000,5.111824
0.020000,4.243489,2.317490,2.844434,2.694315,-1.988746,0.000000,5.083510
0.020000,4.262260,2.267405,2.897923,2.654540,-1.988746,-0.000000,5.058968
0.020000,4.279623,2.217655,2.950616,2.614765,-1.988746,0.000000,5.037860
0.020000,4.295763,2.168332,3.002513,2.574990,-1.988746,-0.000000,5.019878
0.020000,4.310851,2.119509,3.053615,2.535215,-1.988746,0.000000,5.004743
0.020000,4.325038,2.071244,3.103922,2.495440,-1.988746,0.000000,4.992209
0.020000,4.338462,2.023588,3.153433,2.455665,-1.988746,-0.000000,4.982058
0.020000,4.351246,1.976580,3.202149,2.415890,-1.988746,0.000000,4.974104
0.020000,4.363500,1.930253,3.250069,2.376116,-1.988746,0.000000,4.968181
0.020000,4.375325,1.884636,3.297193,2.336341,-1.988746,0.000000,4.964151
0.020000,4.386809,1.839753,3.343522,2.296566,-1.988746,0.000000,4.961891
0.020000,4.398033,1.795625,3.389056,2.256791,-1.988746,-0.000000,4.961299
0.020000,4.409070,1.752269,3.433794,2.217016,-1.988746,0.000000,4.962284
0.020000,4.419984,1.709704,3.477736,2.177241,-1.988746,0.000000,4.964771
0.020000,4.430836,1.667943,3.520883,2.137466,-1.988746,0.000000,4.968695
0.020000,4.441676,1.627003,3.563235,2.097691,-1.988746,0.000000,4.973999
