dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.716350,2.681599,0.000199,0.019887,0.994373,49.718660,6.268977
0.020000,1.716332,2.681600,0.000218,0.000942,-0.947285,-97.082928,6.268927
0.020000,1.717464,2.681583,0.001350,0.056634,2.784605,186.594522,6.268827
0.020000,1.719794,2.681550,0.003681,0.116516,2.994111,10.475304,6.268679
0.020000,1.722901,2.681504,0.006788,0.155374,1.942901,-52.560520,6.268482
0.020000,1.726786,2.681447,0.010673,0.194249,1.943729,0.041426,6.268237
0.020000,1.731448,2.681376,0.015336,0.233144,1.944764,0.051755,6.267946
0.020000,1.736889,2.681292,0.020777,0.272064,1.946007,0.062145,6.267609
0.020000,1.743108,2.681194,0.026998,0.311013,1.947457,0.072479,6.267229
0.020000,1.750107,2.681081,0.033998,0.349996,1.949114,0.082842,6.266807
0.020000,1.757887,2.680952,0.041778,0.389015,1.950978,0.093211,6.266345
0.020000,1.766447,2.680806,0.050339,0.428076,1.953050,0.103588,6.265845
0.020000,1.775789,2.680641,0.059683,0.467183,1.955328,0.113930,6.265309
0.020000,1.785914,2.680457,0.069810,0.506339,1.957815,0.124321,6.264741
0.020000,1.796823,2.680253,0.080721,0.545549,1.960508,0.134670,6.264144
0.020000,1.808517,2.680026,0.092417,0.584817,1.963409,0.145052,6.263519
0.020000,1.820998,2.679777,0.104900,0.624148,1.966517,0.155414,6.262871
0.020000,1.834266,2.679503,0.118171,0.663544,1.969833,0.165784,6.262202
0.020000,1.848323,2.679203,0.132231,0.703011,1.973356,0.176147,6.261518
0.020000,1.863170,2.678876,0.147082,0.742553,1.977086,0.186515,6.260821
0.020000,1.878810,2.678521,0.162726,0.782174,1.981024,0.196867,6.260116
0.020000,1.895243,2.678136,0.179163,0.821877,1.985168,0.207237,6.259407
0.020000,1.912471,2.677720,0.196397,0.861667,1.989520,0.217571,6.258699
0.020000,1.930497,2.677272,0.214428,0.901549,1.994079,0.227945,6.257997
0.020000,1.949321,2.676791,0.233258,0.941526,1.998844,0.238273,6.257305
0.020000,1.968946,2.676276,0.252890,0.981602,2.003817,0.248619,6.256630
0.020000,1.989375,2.675727,0.273326,1.021782,2.008996,0.258954,6.255975
0.020000,2.010608,2.675142,0.294567,1.062070,2.014382,0.269300,6.255348
0.020000,2.032649,2.674522,0.316617,1.102469,2.019974,0.279622,6.254754
0.020000,2.055499,2.673866,0.339476,1.142985,2.025773,0.289959,6.254199
0.020000,2.079161,2.673173,0.363149,1.183620,2.031779,0.300289,6.253690
0.020000,2.103638,2.672445,0.387636,1.224380,2.037992,0.310632,6.253232
0.020000,2.128932,2.671682,0.412942,1.265268,2.044411,0.320953,6.252834
0.020000,2.155045,2.670885,0.439067,1.306289,2.051037,0.331311,6.252502
0.020000,2.181982,2.670055,0.466016,1.347446,2.057870,0.341668,6.252242
0.020000,2.209743,2.669193,0.493791,1.388745,2.064911,0.352021,6.252063
0.020000,2.238333,2.668301,0.522395,1.430188,2.072159,0.362399,6.251973
0.020000,2.267754,2.667382,0.551831,1.471780,2.079614,0.372788,6.251979
0.020000,2.298010,2.666439,0.582101,1.513526,2.087278,0.383189,6.252089
